Year,Chile,Costa Rica,Colombia,Peru,Mexico,Panama,Ecuador
2000,42.6,35.7,47,36.8,42,43.4,45.9
2001,42.6,39.8,45.8,39.2,42,42.8,45.9
2002,42.6,40.5,44.8,42.1,39.6,43.1,45.9
2003,41.4,37,42.4,42.2,39.6,42.3,41.9
2004,41.4,36.5,44.2,37.9,39.6,41.3,42.4
2005,41.4,35.8,42.8,38.5,39.6,40.2,41.2
2006,37.9,38.5,42.8,38.2,38.9,41.1,41.1
2007,37.9,38.9,42.8,37.8,38.9,39.7,42
2008,37.9,37.7,43.9,35.4,39.1,40.7,38.1
2009,38.2,39.4,43,35.2,39.1,40.1,37.1
2010,38.2,37.1,43.5,34.2,37.1,39.7,37.5
2011,37.3,37.1,42.4,33.5,37.1,39.7,34.1
2012,37.3,37,41.4,33.3,38.9,39.7,34.6
2013,37.4,37.4,41.5,32.7,38.9,39.6,35.7
2014,37.4,36.9,41.6,32.2,39.5,38.5,34.4
2015,36.1,36.8,40,32.6,39.5,39,34.9
2016,36.1,37.3,40,32.6,36.9,37.9,34.3
2017,36.3,37,39,32.3,36.9,37.7,33.8
2018,36.3,36.3,39.7,32.1,36.4,37.1,34.4